club,last_name,first_name,position,base_salary,guaranteed_compensation
FC Dallas,Chala,Anibal,D,300000.0,383000.0
New York City FC,Chanot,Maxime,D,375000.0,408000.0
Toronto FC,Chapman,Jay,M,99000.0,117500.0
Portland Timbers,Chara,Diego,M,550000.0,572000.0
Seattle Sounders FC,Chenkam,Felix,F,54500.04,54500.04
Montreal Impact,Choiniere,David,M,67500.0,67500.0
Montreal Impact,Choiniere,Mathieu,M,54500.04,59441.04
LA Galaxy,Ciani,Michael,D,600000.0,620000.0
Columbus Crew,Clark,Ricardo,M,125000.04,125000.04
Portland Timbers,Clark,Steve,GK,120000.0,130000.0
Chicago Fire,Cleveland,Stefan,GK,55654.2,55654.2
LA Galaxy,Cole,Ashley,D,450000.0,722499.98
Chicago Fire,Collier,Elliot,F,54500.04,54500.04
New York Red Bulls,Collin,Aurelien,D,450000.0,450000.0
FC Dallas,Colman,Cristian,F,500000.04,585000.04
Orlando City SC,Colman,Josue,M,150000.0,150000.0
Colorado Rapids,Colvey,Kip,D,67500.0,67500.0
Vancouver Whitecaps,Colyn,Simon,M,54499.92,60749.92
Portland Timbers,Conechny,Tomas,M-F,150000.0,166666.67
Chicago Fire,Conner,Drew,M,68907.3,68907.3
Chicago Fire,Corrales,Jorge,D,67500.0,67500.0
Philadelphia Union,Creavalle,Warren,M,140000.0,153000.0
Montreal Impact,Crepeau,Maxime,GK,80000.0,84083.33
Columbus Crew,Crognale,Alex,D,95004.0,95004.0
Sporting Kansas City,Croizet,Yohan,M,650004.0,680004.0
Minnesota United,Cronin,Sam,M,141660.0,208761.33
New England Revolution,Cropper,Cody,GK,73828.13,73828.13
San Jose Earthquakes,Cummings,Harold,D,249996.0,300662.67
LAFC,Czornomaz,Nicolas,M,67500.0,71250.0
Colorado Rapids,da Fonte,Mike,D,67500.0,67500.0
Houston Dynamo,Da Silva,Leonardo,D,157504.5,165171.17
Minnesota United,da Silva,Ibson,M,300000.0,317083.33
Orlando City SC,Da Silva,Pierre,M,54504.0,54504.0
Toronto FC,Daniels,Aidan,M,54500.04,54500.04
Minnesota United,Danladi,Abu,F,135000.0,186000.0
Vancouver Whitecaps,Davies,Alphonso,M,72500.0,72500.0
New York Red Bulls,Davis,Sean,M,225000.0,261666.67
Vancouver Whitecaps,de Jong,Marcel,D-M,150000.0,164500.0
Chicago Fire,de Leeuw,Michael,F,525000.0,589212.5
Columbus Crew,de Lima,Artur,M,210000.0,244166.67
Chicago Fire,Dean,Christian,D,90000.0,93125.0
Chicago Fire,Del Grecco,Nicolas,D,90000.0,91125.0
Houston Dynamo,DeLaGarza,AJ,D,200000.04,207500.04
Seattle Sounders FC,Delem,Jordy,M,67500.0,67500.0
DC United,DeLeon,Nick,M,275000.0,275000.0
Toronto FC,Delgado,Marco,M,230000.0,230000.0
Retired,Dempsey,Clint,F,1100000.04,1650000.04
,DePuy,Nick,F,68254.2,75754.2
Houston Dynamo,Deric,Tyler,GK,67500.0,67500.0
Montreal Impact,Diallo,Zakaria,D,299250.0,343250.0
Philadelphia Union,Dias,Ilson,M,300000.0,327000.0
Sporting Kansas City,Dick,Eric,GK,54500.04,57949.58
Sporting Kansas City,Didic,Amer,D,55654.2,55654.2
New England Revolution,Dielna,Claude,D,780000.0,909861.0
LAFC,Diomande,Adama,F,849999.96,934999.96
Montreal Impact,Diop,Clement,GK,90000.0,97290.0
Philadelphia Union,Dockal,Borek,M,1714285.68,1714285.68
Vancouver Whitecaps,Dominguez,Roberto,D,54504.0,61465.66
Houston Dynamo,Donovan,Conor,D,54500.04,54500.04
LA Galaxy,dos Santos,Giovani,F,4250000.0,6000000.0
LA Galaxy,dos Santos,Jonathan,M,2000000.04,2000000.04
New York Red Bulls,Duncan,Kyle,D,54500.04,54500.04
Toronto FC,Dunn,Julian,D,54500.04,54500.04
DC United,Durkin,Chris,D-M,80000.0,89166.67
Montreal Impact,Duvall,Chris,D,150000.0,150000.0
Orlando City SC,Dwyer,Dom,F,1200000.0,1383333.33
